id_estudiante,id_oferta,taller,periodo,fecha_inicio,fecha_fin
A07045937,0Y9mhjjtxgKOQDBswwcf,Mis relaciones,Ago-Dic 2021,2021-11-07,2021-11-10
A07045947,0Y9mhjjtxgKOQDBswwcf,Mis relaciones,Ago-Dic 2021,2021-11-07,2021-11-10
A07106888,0Y9mhjjtxgKOQDBswwcf,Mis relaciones,Ago-Dic 2021,2021-11-07,2021-11-10
A07192260,0Y9mhjjtxgKOQDBswwcf,Mis relaciones,Ago-Dic 2021,2021-11-07,2021-11-10
A07106896,0Y9mhjjtxgKOQDBswwcf,Mis relaciones,Ago-Dic 2021,2021-11-07,2021-11-10
A07076567,0Y9mhjjtxgKOQDBswwcf,Mis relaciones,Ago-Dic 2021,2021-11-07,2021-11-10
A07106891,0Y9mhjjtxgKOQDBswwcf,Mis relaciones,Ago-Dic 2021,2021-11-07,2021-11-10
A07076570,0Y9mhjjtxgKOQDBswwcf,Mis relaciones,Ago-Dic 2021,2021-11-07,2021-11-10
A07192302,0Y9mhjjtxgKOQDBswwcf,Mis relaciones,Ago-Dic 2021,2021-11-07,2021-11-10
A07045946,0Y9mhjjtxgKOQDBswwcf,Mis relaciones,Ago-Dic 2021,2021-11-07,2021-11-10
A07192262,0Y9mhjjtxgKOQDBswwcf,Mis relaciones,Ago-Dic 2021,2021-11-07,2021-11-10
A07045953,0Y9mhjjtxgKOQDBswwcf,Mis relaciones,Ago-Dic 2021,2021-11-07,2021-11-10
A07076568,0Y9mhjjtxgKOQDBswwcf,Mis relaciones,Ago-Dic 2021,2021-11-07,2021-11-10
A07076575,0Y9mhjjtxgKOQDBswwcf,Mis relaciones,Ago-Dic 2021,2021-11-07,2021-11-10
A07192270,0Y9mhjjtxgKOQDBswwcf,Mis relaciones,Ago-Dic 2021,2021-11-07,2021-11-10
A07192255,0Y9mhjjtxgKOQDBswwcf,Mis relaciones,Ago-Dic 2021,2021-11-07,2021-11-10
A07192315,0Y9mhjjtxgKOQDBswwcf,Mis relaciones,Ago-Dic 2021,2021-11-07,2021-11-10
A07106897,0Y9mhjjtxgKOQDBswwcf,Mis relaciones,Ago-Dic 2021,2021-11-07,2021-11-10
A07192251,0Y9mhjjtxgKOQDBswwcf,Mis relaciones,Ago-Dic 2021,2021-11-07,2021-11-10
A07106900,0Y9mhjjtxgKOQDBswwcf,Mis relaciones,Ago-Dic 2021,2021-11-07,2021-11-10
A07045942,0Y9mhjjtxgKOQDBswwcf,Mis relaciones,Ago-Dic 2021,2021-11-07,2021-11-10
A07192297,0Y9mhjjtxgKOQDBswwcf,Mis relaciones,Ago-Dic 2021,2021-11-07,2021-11-10
A07192296,0Y9mhjjtxgKOQDBswwcf,Mis relaciones,Ago-Dic 2021,2021-11-07,2021-11-10
A07106901,0Y9mhjjtxgKOQDBswwcf,Mis relaciones,Ago-Dic 2021,2021-11-07,2021-11-10
A07046030,0Y9mhjjtxgKOQDBswwcf,Mis relaciones,Ago-Dic 2021,2021-11-07,2021-11-10
A07045949,0Y9mhjjtxgKOQDBswwcf,Mis relaciones,Ago-Dic 2021,2021-11-07,2021-11-10
A07106887,0Y9mhjjtxgKOQDBswwcf,Mis relaciones,Ago-Dic 2021,2021-11-07,2021-11-10
A07106884,0Y9mhjjtxgKOQDBswwcf,Mis relaciones,Ago-Dic 2021,2021-11-07,2021-11-10
A07106899,0Y9mhjjtxgKOQDBswwcf,Mis relaciones,Ago-Dic 2021,2021-11-07,2021-11-10
A07045935,0Y9mhjjtxgKOQDBswwcf,Mis relaciones,Ago-Dic 2021,2021-11-07,2021-11-10
A07076574,0Y9mhjjtxgKOQDBswwcf,Mis relaciones,Ago-Dic 2021,2021-11-07,2021-11-10
A07192271,0Y9mhjjtxgKOQDBswwcf,Mis relaciones,Ago-Dic 2021,2021-11-07,2021-11-10
A07045941,0Y9mhjjtxgKOQDBswwcf,Mis relaciones,Ago-Dic 2021,2021-11-07,2021-11-10
A07076592,0Y9mhjjtxgKOQDBswwcf,Mis relaciones,Ago-Dic 2021,2021-11-07,2021-11-10
A07106890,0Y9mhjjtxgKOQDBswwcf,Mis relaciones,Ago-Dic 2021,2021-11-07,2021-11-10
A07192268,0Y9mhjjtxgKOQDBswwcf,Mis relaciones,Ago-Dic 2021,2021-11-07,2021-11-10
A07076589,0Y9mhjjtxgKOQDBswwcf,Mis relaciones,Ago-Dic 2021,2021-11-07,2021-11-10
A07076588,0Y9mhjjtxgKOQDBswwcf,Mis relaciones,Ago-Dic 2021,2021-11-07,2021-11-10
A07192257,0Y9mhjjtxgKOQDBswwcf,Mis relaciones,Ago-Dic 2021,2021-11-07,2021-11-10
A07076563,0Y9mhjjtxgKOQDBswwcf,Mis relaciones,Ago-Dic 2021,2021-11-07,2021-11-10
A07045945,0Y9mhjjtxgKOQDBswwcf,Mis relaciones,Ago-Dic 2021,2021-11-07,2021-11-10
A07045943,0Y9mhjjtxgKOQDBswwcf,Mis relaciones,Ago-Dic 2021,2021-11-07,2021-11-10
A07192252,0Y9mhjjtxgKOQDBswwcf,Mis relaciones,Ago-Dic 2021,2021-11-07,2021-11-10
A07192254,0Y9mhjjtxgKOQDBswwcf,Mis relaciones,Ago-Dic 2021,2021-11-07,2021-11-10
